"date","armed","age","gender","race","city","state","signs_of_mental_illness","body_camera","percent_completed_hs","poverty_rate"
"2016-05-23","gun",26,"M","N","Flagstaff","AZ",False,True,"91.3","24.2"
"2016-05-21","gun",31,"M","N","Flagstaff","AZ",True,True,"91.3","24.2"
"2016-04-30","vehicle",55,"M","W","Florence","AZ",False,False,"75.6","16.8"
"2015-10-08","vehicle",24,"M","W","Gilbert","AZ",False,False,"95.6","6.6"
"2016-03-03","knife",27,"M","H","Gilbert","AZ",False,False,"95.6","6.6"
"2015-03-25","gun",63,"M","W","Glendale","AZ",True,False,"83.6","21.7"
"2015-03-18","gun",49,"F","W","Glendale","AZ",False,False,"83.6","21.7"
"2016-03-30","gun",25,"M","H","Glendale","AZ",False,False,"83.6","21.7"
"2017-01-07","gun",23,"M","H","Glendale","AZ",False,True,"83.6","21.7"
"2017-05-23","gun",21,"M","H","Glendale","AZ",False,False,"83.6","21.7"
"2017-04-20","unarmed",17,"F","W","Glendale","AZ",False,False,"83.6","21.7"
"2017-04-20","vehicle",25,"M","H","Glendale","AZ",False,False,"83.6","21.7"
"2017-02-13","gun",53,"M","W","Golden Shores","AZ",False,False,"77.9","7.4"
"2017-11-07","gun",NULL,"M",NULL,"Golden Valley","AZ",False,False,"81.6","25.1"
"2017-07-13","knife",42,"M",NULL,"Goodyear","AZ",False,False,"92.1","8.8"
"2015-08-05","sword",35,"M","W","Kearny","AZ",False,False,"87.7","21.2"
"2015-11-03","toy weapon",31,"M","W","Kingman","AZ",True,False,"87","20.7"
"2016-08-29","gun",35,"F","W","Kingman","AZ",False,False,"87","20.7"
"2016-10-30","vehicle",34,"M","W","Kingman","AZ",False,False,"87","20.7"
"2016-09-29","gun",53,"M","W","Kingman","AZ",False,True,"87","20.7"
"2017-05-14","gun",41,"M","H","Kingman","AZ",False,False,"87","20.7"
"2016-06-20","knife",20,"M","W","Lake Havasu City","AZ",False,True,"88.5","13.8"
"2015-02-16","gun",56,"M","W","Marana","AZ",False,False,"94.1","5.8"
"2015-01-18","gun",32,"M","W","Maricopa","AZ",True,False,"91.7","8.1"
"2015-04-29","gun",33,"M","H","Mesa","AZ",True,False,"87.5","16.5"
"2015-07-07","metal pole",33,"M","W","Mesa","AZ",False,False,"87.5","16.5"
"2016-04-02","knife",24,"M","W","Mesa","AZ",True,True,"87.5","16.5"
"2016-01-17","unarmed",26,"M","W","Mesa","AZ",False,True,"87.5","16.5"
"2015-04-12","metal stick",47,"M","W","Mesa","AZ",False,False,"87.5","16.5"
"2016-12-08","undetermined",22,"M","H","Mesa","AZ",False,False,"87.5","16.5"
"2015-01-27","gun",29,"M","W","Morenci","AZ",False,False,"94.3","6.8"
"2016-03-06","knife",34,"M","N","Parker","AZ",False,False,"80.4","15.4"
"2015-04-18","gun",43,"M","H","Phoenix","AZ",True,False,"80.7","23.1"
"2015-05-04","knife",51,"M","W","Phoenix","AZ",True,False,"80.7","23.1"
"2015-07-03","gun",29,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2015-01-27","vehicle",26,"M","N","Phoenix","AZ",False,False,"80.7","23.1"
"2015-08-25","gun",45,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2015-07-18","gun",46,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2015-09-07","gun",68,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2016-02-24","vehicle",27,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2016-02-23","gun",26,"M","W","Phoenix","AZ",True,False,"80.7","23.1"
"2016-02-21","gun",36,"F","N","Phoenix","AZ",True,False,"80.7","23.1"
"2016-01-18","gun",39,"M","W","Phoenix","AZ",True,False,"80.7","23.1"
"2015-12-26","brick",41,"M","W","Phoenix","AZ",True,False,"80.7","23.1"
"2016-08-27","toy weapon",26,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2016-08-19","gun",22,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2016-08-13","knife",38,"M","H","Phoenix","AZ",True,False,"80.7","23.1"
"2016-01-06","gun",NULL,"M",NULL,"Phoenix","AZ",False,False,"80.7","23.1"
"2016-05-18","gun",20,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2016-05-14","gun",43,"M","N","Phoenix","AZ",False,True,"80.7","23.1"
"2017-09-01","unarmed",38,"M","B","Phoenix","AZ",False,True,"80.7","23.1"
"2016-12-30","knife",31,"M",NULL,"Phoenix","AZ",False,False,"80.7","23.1"
"2016-09-27","vehicle",26,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2016-09-15","gun",32,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2016-06-09","sword",25,"M","W","Phoenix","AZ",True,False,"80.7","23.1"
"2016-06-09","undetermined",31,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2017-06-25","gun",47,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2017-06-23","vehicle",34,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2017-05-15","gun",27,"F","B","Phoenix","AZ",False,False,"80.7","23.1"
"2017-03-23","knife",24,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2017-03-15","vehicle",25,"M","W","Phoenix","AZ",False,False,"80.7","23.1"
"2017-02-03","toy weapon",27,"M","H","Phoenix","AZ",False,False,"80.7","23.1"
"2017-07-26","gun",35,"M",NULL,"Phoenix","AZ",False,False,"80.7","23.1"
"2017-07-13","gun",55,"M","W","Pima","AZ",False,False,"87.8","22.5"
"2015-02-09","gun",45,"M","W","Prescott","AZ",True,True,"92.8","15.5"
"2017-04-23","gun",70,"M","W","Prescott","AZ",False,False,"92.8","15.5"
"2015-02-13","knife",37,"M","H","San Manuel","AZ",True,False,"87.2","17.1"
"2015-01-20","vehicle",42,"M","B","Scottsdale","AZ",False,False,"96.2","9.5"
"2016-07-27","knife",24,"M","W","Scottsdale","AZ",False,True,"96.2","9.5"
"2016-09-10","gun",40,"M","W","Scottsdale","AZ",True,False,"96.2","9.5"
"2016-09-11","gun",36,"M","W","Show Low","AZ",False,False,"88.7","18.4"
"2015-02-10","gun",28,"M","H","Sierra Vista","AZ",False,False,"93.2","12.7"
"2016-09-06","baton",NULL,"M",NULL,"Somerton","AZ",False,False,"51","31.5"
"2015-08-06","gun",69,"M","W","Sun City","AZ",True,False,"91","8.4"
"2015-11-29","gun",69,"M","H","Sun City","AZ",True,False,"91","8.4"
"2016-11-26","undetermined",20,"M","H","Surprise","AZ",False,False,"92.9","9.8"
"2015-03-03","knife",25,"M","W","Tempe","AZ",False,False,"91.7","21.6"
"2015-04-02","unarmed",28,"M","H","Tempe","AZ",False,False,"91.7","21.6"
"2015-04-02","gun",28,"M","H","Tempe","AZ",False,False,"91.7","21.6"
"2015-12-27","knife",34,"M","W","Tempe","AZ",True,True,"91.7","21.6"
"2016-07-27","unarmed",19,"M","B","Tempe","AZ",True,False,"91.7","21.6"
"2017-05-16","knife",25,"M",NULL,"Tempe","AZ",False,False,"91.7","21.6"
"2015-02-28","knife",28,"F","H","Tucson","AZ",False,False,"84.2","25.3"
"2015-08-30","gun",40,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2015-01-08","gun",29,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2016-01-18","gun",33,"M","W","Tucson","AZ",True,False,"84.2","25.3"
"2015-11-12","unarmed",36,"M","W","Tucson","AZ",False,False,"84.2","25.3"
"2016-08-16","unarmed",25,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2016-07-28","gun",31,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2016-08-07","knife",30,"M","W","Tucson","AZ",True,False,"84.2","25.3"
"2016-05-30","gun",33,"M","B","Tucson","AZ",False,False,"84.2","25.3"
"2016-01-12","gun",NULL,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2016-11-25","unarmed",26,"M","H","Tucson","AZ",False,True,"84.2","25.3"
"2016-12-11","gun",29,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2017-05-26","toy weapon",34,"M","W","Tucson","AZ",True,False,"84.2","25.3"
"2017-02-19","gun",26,"M","H","Tucson","AZ",False,False,"84.2","25.3"
"2015-09-25","gun",45,"M","W","Wilhoit","AZ",False,False,"80.1","24"
"2016-03-27","scissors",27,"F","N","Winslow","AZ",False,True,"79.6","30.1"
"2016-05-07","knife",24,"F","H","Yuma","AZ",False,False,"77.5","18.4"
"2016-07-02","gun",36,"M","W","Austin","AR",False,False,"95.9","7.7"
"2016-10-17","gun",17,"M","W","Benton","AR",True,False,"87","11.4"
"2016-07-10","toy weapon",49,"M","W","Benton","AR",False,False,"87","11.4"
"2017-02-19","gun",33,"M","W","Bull Shoals","AR",False,False,"93.4","13.9"
"2015-05-19","gun",35,"M","W","Cabot","AR",False,False,"92.4","11.4"
"2016-01-12","gun",83,"M","W","Dover","AR",False,False,"85.2","23.6"
"2015-09-01","gun",71,"M","W","England","AR",False,False,"82.3","29.9"
"2016-06-24","gun",50,"M","W","Farmington","AR",False,False,"92.3","11.4"
"2016-04-23","vehicle",33,"M","B","Fayetteville","AR",False,True,"91.7","24"
"2016-12-21","knife",25,"M",NULL,"Fayetteville","AR",True,False,"91.7","24"
"2015-04-14","machete",31,"M","W","Jonesboro","AR",True,False,"89.1","23.7"
"2016-10-25","toy weapon",46,"M","B","Little Rock","AR",False,False,"90.7","17.8"
"2016-09-26","gun",32,"M","W","Little Rock","AR",True,False,"90.7","17.8"
"2017-05-04","vehicle",22,"M","W","Little Rock","AR",False,False,"90.7","17.8"
"2017-03-26","gun",54,"M","W","Little Rock","AR",False,False,"90.7","17.8"
"2015-07-28","knife",41,"M",NULL,"Manila","AR",False,False,"80.7","32.6"
"2017-07-25","undetermined",16,"M","B","Marion","AR",False,False,"89.3","10.9"
"2016-02-16","gun",30,"M","W","Mena","AR",False,False,"88.8","18.5"
"2016-01-27","gun",52,"M","W","Mountain Pine","AR",False,False,"69.4","25"
"2016-04-20","undetermined",52,"M","W","Perryville","AR",False,False,"85.8","14"
"2017-03-23","knife",42,"M","B","Sheridan","AR",False,False,"90.4","10.2"
"2016-04-10","gun",26,"M","W","Springdale","AR",False,False,"71.7","23.3"
"2015-08-01","unarmed",36,"M","B","Strong","AR",False,False,"74.4","23"
"2017-04-15","gun",33,"M","B","West Memphis","AR",False,False,"80.6","30.9"
"2015-09-10","gun",62,"F",NULL,"Aguanga","CA",False,False,"81.1","7"
"2017-01-27","gun",25,"M","H","Alhambra","CA",True,True,"80.7","15.8"
"2015-05-27","screwdriver",33,"M","W","Alpine","CA",True,False,"90.3","8.8"
"2015-08-03","knife",43,"F","B","Anaheim","CA",True,True,"75.8","16.5"
"2015-08-06","knife",30,"M","H","Anaheim","CA",True,True,"75.8","16.5"
"2016-02-20","gun",30,"M","H","Anaheim","CA",False,True,"75.8","16.5"
"2016-09-02","unarmed",22,"M","H","Anaheim","CA",False,True,"75.8","16.5"
"2016-11-19","vehicle",29,"M","H","Anaheim","CA",False,True,"75.8","16.5"
"2017-03-26","gun",53,"M","W","Anderson","CA",False,False,"85","24.6"
"2016-08-18","knife",40,"M","W","Antelope","CA",False,False,"91.2","13"
"2015-03-02","knife",29,"M","B","Antioch","CA",True,False,"86.9","15.4"
"2017-06-16","gun",37,"M","W","Antioch","CA",False,False,"86.9","15.4"
"2015-02-02","gun",42,"M","W","Apple Valley","CA",True,False,"86","20.6"
"2017-01-24","gun",34,"M","H","Atascadero","CA",False,False,"92.6","11"
"2015-06-07","knife",42,"M","H","Atwater","CA",False,False,"72.5","26.2"
"2017-07-27","blunt object",25,"M",NULL,"Avenal","CA",False,False,"48.8","36.4"
"2015-06-21","unarmed",24,"M","H","Azusa","CA",True,False,"77.7","17.6"
"2017-01-15","gun",48,"M","W","Azusa","CA",False,False,"77.7","17.6"
"2016-08-11","gun",45,"M","H","Azusa","CA",False,False,"77.7","17.6"
"2015-03-27","toy weapon",23,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2015-03-19","gun",36,"M","W","Bakersfield","CA",False,False,"79.6","19.8"
"2015-03-18","knife",47,"M","W","Bakersfield","CA",False,False,"79.6","19.8"
"2015-08-22","carjack",29,"M","W","Bakersfield","CA",False,False,"79.6","19.8"
"2015-07-07","gun",47,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2016-02-22","knife",45,"M","W","Bakersfield","CA",False,False,"79.6","19.8"
"2016-01-31","gun",42,"M","W","Bakersfield","CA",False,False,"79.6","19.8"
"2015-11-29","gun",23,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2016-08-18","gun",37,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2017-01-24","gun",27,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2016-12-12","unarmed",73,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2017-08-06","gun",45,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2017-04-04","unarmed",47,"M","H","Bakersfield","CA",False,False,"79.6","19.8"
"2015-09-14","unarmed",28,"M","W","Barstow","CA",True,False,"79.8","33.7"
"2015-11-20","unarmed",29,"M","B","Barstow","CA",True,False,"79.8","33.7"
"2016-09-17","hatchet",42,"M","W","Beaumont","CA",False,False,"86.8","11.8"
"2016-07-07","knife",37,"M","H","Bell","CA",False,False,"47.4","27.7"
"2017-04-25","vehicle",20,"M","H","Bellflower","CA",False,False,"77.6","17.9"
"2015-09-07","gun",17,"M","W","Boulder Creek","CA",True,False,"93.5","10.9"
"2016-12-20","knife",NULL,"M",NULL,"Brawley","CA",True,False,"70.4","25.2"
"2015-05-03","unarmed",36,"M","H","Burbank","CA",False,False,"88.7","11"
"2015-05-03","unarmed",36,"M","H","Burbank","CA",False,False,"85","11"
"2017-06-29","undetermined",NULL,"M",NULL,"Burbank","CA",False,False,"88.7","11"
"2017-06-29","undetermined",NULL,"M",NULL,"Burbank","CA",False,False,"85","11"
"2015-05-03","unarmed",36,"M","H","Burbank","CA",False,False,"88.7","12.1"
"2015-05-03","unarmed",36,"M","H","Burbank","CA",False,False,"85","12.1"
"2017-06-29","undetermined",NULL,"M",NULL,"Burbank","CA",False,False,"88.7","12.1"
"2017-06-29","undetermined",NULL,"M",NULL,"Burbank","CA",False,False,"85","12.1"
"2016-03-18","gun",49,"M",NULL,"Byron","CA",True,False,"73","3.6"
"2017-04-03","metal object",26,"M","W","Cabazon","CA",False,False,"74.1","30.7"
"2015-10-21","knife",35,"M","H","Calexico","CA",False,False,"56.6","27.4"
"2015-07-02","toy weapon",26,"M","W","Calimesa","CA",False,False,"88.3","14.8"
"2015-12-16","knife",NULL,"M","W","Camarillo","CA",True,False,"92.2","6.4"
"2017-04-06","gun",66,"M","W","Campo","CA",True,False,"75.8","26.8"
"2015-10-22","gun",36,"M","B","Carmichael","CA",False,False,"93.4","16.6"
"2016-06-18","vehicle",17,"M","W","Carmichael","CA",False,False,"93.4","16.6"
"2017-01-22","gun",33,"M","H","Carson","CA",False,False,"79.6","10.9"
"2016-02-08","undetermined",51,"M","W","Castaic","CA",False,False,"91.9","6.8"
"2015-10-24","undetermined",30,"M","B","Cathedral City","CA",False,False,"75.3","23.1"
"2016-05-01","hand torch",28,"M","H","Ceres","CA",False,False,"67.9","17.9"
"2015-07-05","vehicle",21,"M","B","Cerritos","CA",False,False,"91.7","4.8"
"2016-02-24","vehicle",26,"M","H","Cerritos","CA",False,False,"91.7","4.8"
"2015-11-26","unarmed",26,"M","W","Chico","CA",False,True,"92","24.9"
